icao,iata,name,country_code,active
WFX,,Westfalia Express VA,DE,true
WGC,WG,Worldways,CA,false
WIF,WF,Widerøe,NO,true
WJA,WS,WestJet,CA,true
WLC,2W,Welcome Air,AT,true
WOA,WO,World Airways,US,true
WON,IW,Wings Air,ID,true
WOW,,Air Southwest,GB,true
WRC,,Wind Rose Aviation,UA,true
WRF,8V,Wright Air Service,US,false
WSS,W3,World Scale Airlines,US,true
WTA,FK,Africa West,TG,true
WTJ,,Whitejets,BR,true
WVL,8Z,Wizz Air Hungary,BG,true
WWD,CN,Westward Airways,US,false
WZP,3J,Zip,CA,false
WZZ,W6,Wizz Air,HU,true
XAN,78,Southjet cargo,US,true
XAU,XA,XAIR USA,US,true
XAX,D7,AirAsia X,MY,true
XBM,,CBM America,US,true
XEL,,Excel Charter,GB,true
XLA,JN,Excel Airways,GB,true
XOJ,,XOJET,US,true
XPT,XP,XPTO,PT,true
XSR,,Executive AirShare,US,true
YCC,YC,Ciel Canadien,CA,true
YCP,CN,Canadian National Airways,CA,true
YEL,YE,Yellowtail,US,true
YEP,,YES Airways,PL,true
YZR,Y8,Yangtze River Express,CN,false
YZZ,YZ,LSM AIRLINES ,RU,true
ZAK,K8,Airlink Zambia,ZM,false
ZCS,77,Southjet connect,US,true
ZNA,ZN,Zenith International Airline,TH,true
ZTF,7M,Mongolian International Air Lines ,MN,true
ZTT,Z6,ZABAIKAL AIRLINES,RU,true
ZXY,ZX,Japan Regio,JP,true
ZYZ,XP,Caribbean Wings,TC,false
ZZZ,ZP,Zabaykalskii Airlines,RU,true
