icao,iata,name,country_code,active
CEY,,Air Century,DO,true
CFE,CJ,BA CityFlyer,GB,true
CFG,DE,Condor Flugdienst,DE,true
CFS,EM,Empire Airlines,US,false
CGK,,Click Airways,KG,true
CGN,2Z,Changan Airlines,CN,false
CGP,8L,Cargo Plus Aviation,AE,true
CHB,PN,West Air China,CN,true
CHF,X7,Chitaavia,RU,false
CHH,HU,Hainan Airlines,CN,true
CHK,OP,Chalk's Ocean Airways,US,false
CHP,6A,Consorcio Aviaxsa,MX,true
CHQ,RP,Chautauqua Airlines,US,true
CHW,,Charter Air,AT,true
CIF,1F,CB Airways UK ( Interliging Flights ),GB,true
CIM,QI,Cimber Air,DK,true
CIR,5F,Arctic Circle Air Service,US,false
CIU,A2,Cielos Airlines,PE,false
CIX,G3,City Connexion Airlines,BI,true
CJA,C6,CanJet,CA,false
CJC,9L,Colgan Air,US,true
CJT,W8,Cargojet Airways,CA,false
CKK,CK,China Cargo Airlines,CN,false
CKS,K4,Kalitta Air,US,false
CLH,CL,Lufthansa CityLine,DE,true
CLI,XG,Calima Aviacion,ES,true
CLJ,,Cello Aviation,GB,true
CLW,C0,Centralwings,PL,true
CLX,CV,Cargolux,LU,false
CMI,CS,Continental Micronesia,US,true
CMP,CM,Copa Airlines,PA,true
CNA,7N,Centavia,RS,false
CNF,,Canaryfly,ES,true
CNN,10,Canadian World,CA,false
CNO,,SAS Braathens,NO,true
CNW,WH,China Northwest Airlines,CN,false
COA,CO,Continental Airlines,US,true
COE,,Comtel Air,AT,true
COM,OH,Comair,US,true
COZ,F5,Cosmic Air,NP,false
CPA,CX,Cathay Pacific,HK,true
CPN,RV,Caspian Airlines,IR,true
CPZ,CP,Compass Airlines,US,true
CQH,9S,Spring Airlines,CN,true
CQN,OQ,Chongqing Airlines,CN,true
CRD,QC,Air Corridor,MZ,false
CRF,NV,Air Central,JP,false
CRG,2G,Cargoitalia,IT,false
CRK,HX,Hong Kong Airlines,HK,true
CRL,SS,Corsairfly,FR,true
CRO,,Crown Airways,US,true
CSA,OK,Czech Airlines,CZ,true
CSC,3U,Sichuan Airlines,CN,true
CSH,FM,Shanghai Airlines,CN,true
CSN,CZ,China Southern Airlines,CN,true
CSQ,II,IBC Airways,US,false
CST,BX,Coast Air,NO,false
CSU,S8,Chari Aviation Services,TD,false
CSX,,Choice Airways,US,true
CSZ,ZH,Shenzhen Airlines,CN,true
CTN,OU,Croatia Airlines,HR,true
CUA,HR,China United Airlines,CN,true
CUB,CU,Cubana de Aviación,CU,true
CUD,,Air Cudlua,GB,true
CVA,CV,Air Chathams,NZ,true
CVC,J7,Centre-Avia,RU,false
