icao_code,manufacturer,model,name,family,body_type,engine_type,engine_count,wake_category
HDJT,Honda,HondaJet,HONDA HondaJet,HondaJet,BUSINESS,JET,2,L
HF20,Mbb,HFB-320 Hansa,MBB HFB-320 Hansa,HFB-320 Hansa,REGIONAL,JET,2,M
HT16,Hindustan,Kiran,HINDUSTAN Kiran,Kiran,BUSINESS,JET,1,L
HT34,Hindustan,HTT-34,HINDUSTAN HTT-34,HTT-34,TURBOPROP,TURBOPROP,1,L
HT36,Hindustan,Sitara,HINDUSTAN Sitara,Sitara,BUSINESS,JET,1,L
HT40,Hindustan,HTT-40,HINDUSTAN HTT-40,HTT-40,TURBOPROP,TURBOPROP,1,L
HUNT,Hawker,Hunter,HAWKER Hunter,Hunter,BUSINESS,JET,1,M
HURK,Tai,Hurkus,TAI Hurkus,Hurkus,TURBOPROP,TURBOPROP,1,L
I112,Ilyushin,IL-112,ILYUSHIN IL-112,IL-112,TURBOPROP,TURBOPROP,2,M
I114,Ilyushin,Il-114,ILYUSHIN Il-114,Il-114,TURBOPROP,TURBOPROP,2,M
I22,Pzl-Mielec,I-22 Iryda,PZL-MIELEC I-22 Iryda,I-22 Iryda,REGIONAL,JET,1,M
I828,Ica,IAR-828,ICA IAR-828,IAR-828,TURBOPROP,TURBOPROP,1,L
IA50,Dinfia,IA-50 Guarani 2,DINFIA IA-50 Guarani 2,IA-50 Guarani 2,TURBOPROP,TURBOPROP,2,M
IA58,Fma,IA-58 Pucara,FMA IA-58 Pucara,IA-58 Pucara,TURBOPROP,TURBOPROP,2,L
IA63,Fma,IA-63 Pampa,FMA IA-63 Pampa,IA-63 Pampa,BUSINESS,JET,1,L
IL18,Ilyushin,Il-18,ILYUSHIN Il-18,Il-18,TURBOPROP,TURBOPROP,4,M
IL28,Ilyushin,Il-28,ILYUSHIN Il-28,Il-28,REGIONAL,JET,2,M
IL38,Ilyushin,Il-38,ILYUSHIN Il-38,Il-38,TURBOPROP,TURBOPROP,4,M
IL62,Ilyushin,Il-62,ILYUSHIN Il-62,Il-62,WIDE,JET,4,H
IL76,Ilyushin,Il-76/82,ILYUSHIN Il-76/82,Il-76/82,WIDE,JET,4,H
IL86,Ilyushin,Il-87,ILYUSHIN Il-87,Il-87,WIDE,JET,4,H
IL96,Ilyushin,Il-96,ILYUSHIN Il-96,Il-96,WIDE,JET,4,H
IR25,Ica,IAR-825 Triumf,ICA IAR-825 Triumf,IAR-825 Triumf,TURBOPROP,TURBOPROP,1,L
IR99,Avioane,IAR-99 Soim,AVIOANE IAR-99 Soim,IAR-99 Soim,BUSINESS,JET,1,L
J10,Chengdu,F-10,CHENGDU F-10,F-10,REGIONAL,JET,1,M
J20,Chengdu,J-20,CHENGDU J-20,J-20,REGIONAL,JET,2,M
J328,Dornier,328 JET,Dornier 328 JET,328 JET,REGIONAL,JET,2,M
J8A,Shenyang,J-8,SHENYANG J-8,J-8,REGIONAL,JET,2,M
J8B,Shenyang,J-8,SHENYANG J-8,J-8,REGIONAL,JET,2,M
JAGR,Hindustan,Jaguar,HINDUSTAN Jaguar,Jaguar,REGIONAL,JET,2,M
JAST,Soko,Jastreb,SOKO Jastreb,Jastreb,BUSINESS,JET,1,L
JCOM,IAI,Commodore Jet,IAI Commodore Jet,Commodore Jet,REGIONAL,JET,2,M
JCRU,Aasi,Jetcruzer,AASI Jetcruzer,Jetcruzer,TURBOPROP,TURBOPROP,1,L
JH7,Xian,JH-7,XIAN JH-7,JH-7,REGIONAL,JET,2,M
JL9,Guizhou,Shanying,GUIZHOU Shanying,Shanying,REGIONAL,JET,1,M
JPRO,Bac,P-84 Jet Provost,BAC P-84 Jet Provost,P-84 Jet Provost,BUSINESS,JET,1,L
JS1,Handley,PAGE Jetstream 1,HANDLEY PAGE Jetstream 1,PAGE Jetstream 1,TURBOPROP,TURBOPROP,2,L
JS20,Handley,PAGE Jetstream T.Mk.2,HANDLEY PAGE Jetstream T.Mk.2,PAGE Jetstream T.Mk.2,TURBOPROP,TURBOPROP,2,L
JS3,Century,Jetstream 3,CENTURY Jetstream 3,Jetstream 3,TURBOPROP,TURBOPROP,2,L
JS31,British Aerospace,Jetstream T.Mk.3,BRITISH AEROSPACE Jetstream T.Mk.3,Jetstream T.Mk.3,TURBOPROP,TURBOPROP,2,M
JS32,British Aerospace,Jetstream Super 31,BRITISH AEROSPACE Jetstream Super 31,Jetstream Super 31,TURBOPROP,TURBOPROP,2,M
JS41,British Aerospace,Jetstream 41,BRITISH AEROSPACE Jetstream 41,Jetstream 41,TURBOPROP,TURBOPROP,2,M
JSQA,General,AVIA F-1300 Jet Squalus,GENERAL AVIA F-1300 Jet Squalus,AVIA F-1300 Jet Squalus,BUSINESS,JET,1,L
JSX,Sonex,SubSonex,SONEX SubSonex,SubSonex,BUSINESS,JET,1,L
K100,Daher,Kodiak 100,DAHER Kodiak 100,Kodiak 100,TURBOPROP,TURBOPROP,1,L
K200,Daher,Kodiak 200,DAHER Kodiak 200,Kodiak 200,TURBOPROP,TURBOPROP,1,L
K35E,Boeing,KC-35E Stratotanker,BOEING KC-35E Stratotanker,KC-35E Stratotanker,WIDE,JET,4,H
K35R,Boeing,KC-135R/T Stratotanker,BOEING KC-135R/T Stratotanker,KC-135R/T Stratotanker,WIDE,JET,4,H
K50,Korea,AEROSPACE T-50 Golden Eagle,KOREA AEROSPACE T-50 Golden Eagle,AEROSPACE T-50 Golden Eagle,REGIONAL,JET,1,M
K8,Hongdu,K-8 Karakorum,HONGDU K-8 Karakorum,K-8 Karakorum,BUSINESS,JET,1,L
K900,Kodiak,QUEST 200/900,KODIAK QUEST 200/900,QUEST 200/900,TURBOPROP,TURBOPROP,1,L
KAAN,Tai,TF Kaan,TAI TF Kaan,TF Kaan,REGIONAL,JET,2,M
KAT3,Khrunichev,AT-3,KHRUNICHEV AT-3,AT-3,TURBOPROP,TURBOPROP,1,L
KC2,Kawasaki,C-2,KAWASAKI C-2,C-2,WIDE,JET,2,H
KE3,Boeing,KE-3,BOEING KE-3,KE-3,WIDE,JET,4,H
KEST,Farnborough,F-1 Kestrel,FARNBOROUGH F-1 Kestrel,F-1 Kestrel,TURBOPROP,TURBOPROP,1,L
KF21,Kf-21,Boramae,KF-21 Boramae,Boramae,REGIONAL,JET,2,M
KFIR,IAI,Kfir,IAI Kfir,Kfir,REGIONAL,JET,1,M
KT1,Korean,AEROSPACE KT-1,KOREAN AEROSPACE KT-1,AEROSPACE KT-1,TURBOPROP,TURBOPROP,1,L
KZLA,Baykar,Kizilelma,BAYKAR Kizilelma,Kizilelma,REGIONAL,JET,1,M
L101,Lockheed,L-1011 TriStar,LOCKHEED L-1011 TriStar,L-1011 TriStar,WIDE,JET,3,H
L15,Hongdu,L-15 Lieying,HONGDU L-15 Lieying,L-15 Lieying,REGIONAL,JET,2,M
L159,Aero,L-159 Albatros 2,AERO L-159 Albatros 2,L-159 Albatros 2,REGIONAL,JET,1,M
L188,Lockheed,L-188 Electra,LOCKHEED L-188 Electra,L-188 Electra,TURBOPROP,TURBOPROP,4,M
L29,Aero,L-29 Delfin,AERO L-29 Delfin,L-29 Delfin,BUSINESS,JET,1,L
L29A,Lockheed,L-1329 Jetstar 6/8,LOCKHEED L-1329 Jetstar 6/8,L-1329 Jetstar 6/8,REGIONAL,JET,4,M
L29B,Lockheed,L-1329 Jetstar 731,LOCKHEED L-1329 Jetstar 731,L-1329 Jetstar 731,REGIONAL,JET,4,M
L39,Let,L-39 Albatros,LET L-39 Albatros,L-39 Albatros,BUSINESS,JET,1,L
L410,Let,L-410 Turbolet,LET L-410 Turbolet,L-410 Turbolet,TURBOPROP,TURBOPROP,2,L
L59,Aero,L-59,AERO L-59,L-59,BUSINESS,JET,1,L
L610,Let,L-610,LET L-610,L-610,TURBOPROP,TURBOPROP,2,M
L90,Valmet,Redigo,VALMET Redigo,Redigo,TURBOPROP,TURBOPROP,1,L
LA6T,Aermacchi,AL-60T Turbine Grizzly,AERMACCHI AL-60T Turbine Grizzly,AL-60T Turbine Grizzly,TURBOPROP,TURBOPROP,1,L
LAR1,Flaris,LAR-1,FLARIS LAR-1,LAR-1,BUSINESS,JET,1,L
LCA,Hindustan,Tejas,HINDUSTAN Tejas,Tejas,REGIONAL,JET,1,M
LEOP,Chichester-Miles,Leopard,CHICHESTER-MILES Leopard,Leopard,BUSINESS,JET,2,L
LJ23,Learjet,23,LEARJET 23,23,BUSINESS,JET,2,L
LJ24,Learjet,24,LEARJET 24,24,BUSINESS,JET,2,L
LJ25,Learjet,25,LEARJET 25,25,BUSINESS,JET,2,L
LJ28,Learjet,29,LEARJET 29,29,BUSINESS,JET,2,L
LJ31,Learjet,31,LEARJET 31,31,BUSINESS,JET,2,M
LJ35,Learjet,35,LEARJET 35,35,BUSINESS,JET,2,M
LJ40,Learjet,40,LEARJET 40,40,BUSINESS,JET,2,M
LJ45,Learjet,45,LEARJET 45,45,BUSINESS,JET,2,M
LJ55,Learjet,55,LEARJET 55,55,BUSINESS,JET,2,M
LJ60,Learjet,60,LEARJET 60,60,BUSINESS,JET,2,M
LJ70,Learjet,70,LEARJET 70,70,BUSINESS,JET,2,M
LJ75,Learjet,75,LEARJET 75,75,BUSINESS,JET,2,M
LJ85,Learjet,85,LEARJET 85,85,BUSINESS,JET,2,M
LNP4,Lancair,PropJet 4,LANCAIR PropJet 4,PropJet 4,TURBOPROP,TURBOPROP,1,L
LNT4,Lancair,Sentry 4T,LANCAIR Sentry 4T,Sentry 4T,TURBOPROP,TURBOPROP,1,L
LTNG,Bac,Lightning,BAC Lightning,Lightning,REGIONAL,JET,2,M
M101,Myasishchev,M-101 Sokol,MYASISHCHEV M-101 Sokol,M-101 Sokol,TURBOPROP,TURBOPROP,1,L
M15,Pzl-Mielec,M-15 Belphegor,PZL-MIELEC M-15 Belphegor,M-15 Belphegor,BUSINESS,JET,1,L
M17,Myasishchev,M-17 Stratosfera,MYASISHCHEV M-17 Stratosfera,M-17 Stratosfera,REGIONAL,JET,1,M
M18T,Pzl-Mielec,M-18T Turbine Dromader,PZL-MIELEC M-18T Turbine Dromader,M-18T Turbine Dromader,TURBOPROP,TURBOPROP,1,L
M28,Pzl-Mielec,M-28 Skytruck,PZL-MIELEC M-28 Skytruck,M-28 Skytruck,TURBOPROP,TURBOPROP,2,M
M326,Embraer,EMB-326 Xavante,EMBRAER EMB-326 Xavante,EMB-326 Xavante,BUSINESS,JET,1,L
M339,Aermacchi,MB-339,AERMACCHI MB-339,MB-339,BUSINESS,JET,1,L
M345,Aermacchi,M-345,AERMACCHI M-345,M-345,BUSINESS,JET,1,L
M346,Aermacchi,M-346 Master,AERMACCHI M-346 Master,M-346 Master,REGIONAL,JET,2,M
M55,Myasishchev,M-55 Geophysica,MYASISHCHEV M-55 Geophysica,M-55 Geophysica,REGIONAL,JET,2,M
M600,Piper,PA-46-600TP,PIPER PA-46-600TP,PA-46-600TP,TURBOPROP,TURBOPROP,1,L
M700,Piper,PA-46-701TP M700 Fury,PIPER PA-46-701TP M700 Fury,PA-46-701TP M700 Fury,TURBOPROP,TURBOPROP,1,L
M7T,Maule,M-7-420 Turbine,MAULE M-7-420 Turbine,M-7-420 Turbine,TURBOPROP,TURBOPROP,1,L
MA60,Xian,MA-60,XIAN MA-60,MA-60,TURBOPROP,TURBOPROP,2,M
MA6H,Xian,MA-60H,XIAN MA-60H,MA-60H,TURBOPROP,TURBOPROP,2,M
MC23,Irkut,MC-21-300,IRKUT MC-21-300,MC-21-300,NARROW,JET,2,M
MD11,McDonnell Douglas,MD-11,MCDONNELL-DOUGLAS MD-11,MD-10/11,WIDE,JET,3,H
MD81,McDonnell Douglas,MD-81,MCDONNELL-DOUGLAS MD-81,MD-80/90,NARROW,JET,2,M
MD82,McDonnell Douglas,MD-82,MCDONNELL-DOUGLAS MD-82,MD-80/90,NARROW,JET,2,M
MD83,McDonnell Douglas,MD-83,MCDONNELL-DOUGLAS MD-83,MD-80/90,NARROW,JET,2,M
MD87,McDonnell Douglas,MD-87,MCDONNELL-DOUGLAS MD-87,MD-80/90,NARROW,JET,2,M
MD88,McDonnell Douglas,MD-88,MCDONNELL-DOUGLAS MD-88,MD-80/90,NARROW,JET,2,M
MD90,McDonnell Douglas,MD-90,MCDONNELL-DOUGLAS MD-90,MD-80/90,NARROW,JET,2,M
ME62,Messerschmitt,Me-262 Replica,MESSERSCHMITT Me-262 Replica,Me-262 Replica,BUSINESS,JET,2,L
METR,Gloster,Meteor,GLOSTER Meteor,Meteor,REGIONAL,JET,2,M
MG15,Mikoyan,MiG-15,MIKOYAN MiG-15,MiG-15,BUSINESS,JET,1,L
MG17,Mikoyan,MiG-17,MIKOYAN MiG-17,MiG-17,BUSINESS,JET,1,L
MG19,Mikoyan,Mig-19,MIKOYAN Mig-19,Mig-19,REGIONAL,JET,2,M
MG21,Mikoyan,MiG-21,MIKOYAN MiG-21,MiG-21,REGIONAL,JET,1,M
MG23,Mikoyan,MiG-23/27,MIKOYAN MiG-23/27,MiG-23/27,REGIONAL,JET,1,M
MG25,Mikoyan,MiG-25,MIKOYAN MiG-25,MiG-25,REGIONAL,JET,2,M
MG29,Mikoyan,MiG-29/33/35,MIKOYAN MiG-29/33/35,MiG-29/33/35,REGIONAL,JET,2,M
MG31,Mikoyan,MiG-31,MIKOYAN MiG-31,MiG-31,REGIONAL,JET,2,M
MG44,Mikoyan,MiG 1-44,MIKOYAN MiG 1-44,MiG 1-44,REGIONAL,JET,2,M
MGAT,Mikoyan,MiG-AT,MIKOYAN MiG-AT,MiG-AT,BUSINESS,JET,1,L
MH02,Honda,MISSISSIPPI MH-02,HONDA-MISSISSIPPI MH-02,MISSISSIPPI MH-02,BUSINESS,JET,2,L
MIR2,Dassault,Mirage 2000,DASSAULT Mirage 2000,Mirage 2000,BUSINESS,JET,1,M
MIRA,Dassault,Mirage 3,DASSAULT Mirage 3,Mirage 3,BUSINESS,JET,1,M
MR3T,Murphy,SR-3500 T-Moose,MURPHY SR-3500 T-Moose,SR-3500 T-Moose,TURBOPROP,TURBOPROP,1,L
MRF1,Dassault,Mirage F1,DASSAULT Mirage F1,Mirage F1,BUSINESS,JET,1,M
MRJ7,Mitsubishi,MRJ-70,MITSUBISHI MRJ-70,MRJ-70,REGIONAL,JET,2,M
MRJ9,Mitsubishi,MRJ-90,MITSUBISHI MRJ-90,MRJ-90,REGIONAL,JET,2,M
MS76,Morane-Saulnier,MS-760 Paris,MORANE-SAULNIER MS-760 Paris,MS-760 Paris,BUSINESS,JET,2,L
MT2,Mitsubishi,T-2,MITSUBISHI T-2,T-2,REGIONAL,JET,2,M
MU2,Mitsubishi,MU-2 Marquise,MITSUBISHI MU-2 Marquise,MU-2 Marquise,TURBOPROP,TURBOPROP,2,L
MU30,Mitsubishi,MU-300 Diamond,MITSUBISHI MU-300 Diamond,MU-300 Diamond,REGIONAL,JET,2,M
MYA4,Myasishchev,M-4,MYASISHCHEV M-4,M-4,WIDE,JET,4,H
MYS4,Dassault,MD-454A Mystere 4A,DASSAULT MD-454A Mystere 4A,MD-454A Mystere 4A,BUSINESS,JET,1,M
N219,Dirgantara,INDONESIA N-219 Nurtanio,DIRGANTARA INDONESIA N-219 Nurtanio,INDONESIA N-219 Nurtanio,TURBOPROP,TURBOPROP,2,M
N250,Nusantara,N-250,NUSANTARA N-250,N-250,TURBOPROP,TURBOPROP,2,M
N260,Nord,Super Broussard,NORD Super Broussard,Super Broussard,TURBOPROP,TURBOPROP,2,M
N262,Aerospatiale,N-262,AEROSPATIALE N-262,N-262,TURBOPROP,TURBOPROP,2,M
N5B,Hongdu,N-5B,HONGDU N-5B,N-5B,TURBOPROP,TURBOPROP,1,L
ND1T,Ndn,Turbo Firecracker,NDN Turbo Firecracker,Turbo Firecracker,TURBOPROP,TURBOPROP,1,L
NFEX,Nf-Aircraft,Explorer,NF-AIRCRAFT Explorer,Explorer,TURBOPROP,TURBOPROP,1,L
NOMA,Gaf,N22/24 Nomad,GAF N22/24 Nomad,N22/24 Nomad,TURBOPROP,TURBOPROP,2,L
OMLA,Omac,Laser 300,OMAC Laser 300,Laser 300,TURBOPROP,TURBOPROP,1,L
P1,Kawasaki,P-1,KAWASAKI P-1,P-1,REGIONAL,JET,4,M
P180,Piaggio,P-180 Avanti,PIAGGIO P-180 Avanti,P-180 Avanti,TURBOPROP,TURBOPROP,2,L
P18T,Smith,AVIATION PA-18T Super Cub,SMITH AVIATION PA-18T Super Cub,AVIATION PA-18T Super Cub,TURBOPROP,TURBOPROP,1,L
P1HH,Piaggio,Hammerhead,PIAGGIO Hammerhead,Hammerhead,TURBOPROP,TURBOPROP,2,L
P3,Lockheed,P-3 Orion,LOCKHEED P-3 Orion,P-3 Orion,TURBOPROP,TURBOPROP,4,M
P46T,Piper,PA-46-500TP,PIPER PA-46-500TP,PA-46-500TP,TURBOPROP,TURBOPROP,1,L
P66T,Piaggio,P-166DP1,PIAGGIO P-166DP1,P-166DP1,TURBOPROP,TURBOPROP,2,L
P68T,Partenavia,AP-68 Spartacus,PARTENAVIA AP-68 Spartacus,AP-68 Spartacus,TURBOPROP,TURBOPROP,2,L
P750,Pacific,AEROSPACE P-750 XStol,PACIFIC AEROSPACE P-750 XStol,AEROSPACE P-750 XStol,TURBOPROP,TURBOPROP,1,L
P8,Boeing,P-8 Poseidon,BOEING P-8 Poseidon,P-8 Poseidon,NARROW,JET,2,M
PA47,Piper,PA-47 Piper Jet,PIPER PA-47 Piper Jet,PA-47 Piper Jet,BUSINESS,JET,1,L
PAT4,Piper,PA-31T3-500,PIPER PA-31T3-500,PA-31T3-500,TURBOPROP,TURBOPROP,2,L
PAY1,Piper,PA-31T1-500 Cheyenne 1,PIPER PA-31T1-500 Cheyenne 1,PA-31T1-500 Cheyenne 1,TURBOPROP,TURBOPROP,2,L
PAY2,Piper,PA-31T2-620 Cheyenne 2,PIPER PA-31T2-620 Cheyenne 2,PA-31T2-620 Cheyenne 2,TURBOPROP,TURBOPROP,2,L
PAY3,Piper,PA-42-720 Cheyenne 3,PIPER PA-42-720 Cheyenne 3,PA-42-720 Cheyenne 3,TURBOPROP,TURBOPROP,2,L
PAY4,Piper,PA-42-1000 Cheyenne 400,PIPER PA-42-1000 Cheyenne 400,PA-42-1000 Cheyenne 400,TURBOPROP,TURBOPROP,2,L
PC12,Pilatus,PC-12,PILATUS PC-12,PC-12,TURBOPROP,TURBOPROP,1,L
PC21,Pilatus,PC-21,PILATUS PC-21,PC-21,TURBOPROP,TURBOPROP,1,L
PC24,Pilatus,PC-24,PILATUS PC-24,PC-24,REGIONAL,JET,2,M
PC6T,Pilatus,PC-6 Turbo-Porter,PILATUS PC-6 Turbo-Porter,PC-6 Turbo-Porter,TURBOPROP,TURBOPROP,1,L
PC7,Pilatus,PC-7 Astra,PILATUS PC-7 Astra,PC-7 Astra,TURBOPROP,TURBOPROP,1,L
PC9,Pilatus,PC-9 Hudournik,PILATUS PC-9 Hudournik,PC-9 Hudournik,TURBOPROP,TURBOPROP,1,L
PRM1,Raytheon,390 Premier 1,RAYTHEON 390 Premier 1,390 Premier 1,BUSINESS,JET,2,L
PRTS,Scaled,Proteus,SCALED Proteus,Proteus,BUSINESS,JET,2,L
PRXT,Private,EXPLORER T-Explorer,PRIVATE EXPLORER T-Explorer,EXPLORER T-Explorer,TURBOPROP,TURBOPROP,1,L
PVTR,Privateer,Privateer,PRIVATEER Privateer,Privateer,TURBOPROP,TURBOPROP,1,L
PZ3T,Pzl-Okecie,PZL-130 Orlik,PZL-OKECIE PZL-130 Orlik,PZL-130 Orlik,TURBOPROP,TURBOPROP,1,L
PZ6T,Pzl-Okecie,PZL-106 Turbo Kruk,PZL-OKECIE PZL-106 Turbo Kruk,PZL-106 Turbo Kruk,TURBOPROP,TURBOPROP,1,L
Q25,Boeing,MQ-25 Stingray,BOEING MQ-25 Stingray,MQ-25 Stingray,NARROW,JET,1,M
Q28,Boeing,AUSTRALIA MQ-28 Ghost Bat,BOEING AUSTRALIA MQ-28 Ghost Bat,AUSTRALIA MQ-28 Ghost Bat,BUSINESS,JET,1,L
Q4,Northrop,GRUMMAN RQ-4 Global Hawk,NORTHROP GRUMMAN RQ-4 Global Hawk,GRUMMAN RQ-4 Global Hawk,REGIONAL,JET,1,M
Q5,Hongdu,Q-5,HONGDU Q-5,Q-5,REGIONAL,JET,2,M
Q58,Kratos,XQ-58 Valkyrie,KRATOS XQ-58 Valkyrie,XQ-58 Valkyrie,BUSINESS,JET,1,L
Q9,General,ATOMICS MQ-9 Reaper,GENERAL ATOMICS MQ-9 Reaper,ATOMICS MQ-9 Reaper,TURBOPROP,TURBOPROP,1,L
R135,Boeing,RC-135,BOEING RC-135,RC-135,WIDE,JET,4,H
R721,Boeing,727-100RE Super 27,BOEING 727-100RE Super 27,727-100RE Super 27,NARROW,JET,3,M
R722,Boeing,727-200RE Super 27,BOEING 727-200RE Super 27,727-200RE Super 27,NARROW,JET,3,M
R90T,Ruschmeyer,R-90-420AT,RUSCHMEYER R-90-420AT,R-90-420AT,TURBOPROP,TURBOPROP,1,L
RFAL,Dassault,Rafale,DASSAULT Rafale,Rafale,BUSINESS,JET,2,M
RJ1H,Avro,RJ-100 Avroliner,AVRO RJ-100 Avroliner,BAe 146,REGIONAL,JET,4,M
RJ70,Avro,RJ-70 Avroliner,AVRO RJ-70 Avroliner,BAe 146,REGIONAL,JET,4,M
RJ85,Avro,RJ-85 Avroliner,AVRO RJ-85 Avroliner,BAe 146,REGIONAL,JET,4,M
RV4T,Vans,RV-4T,VANS RV-4T,RV-4T,TURBOPROP,TURBOPROP,1,L
RYSA,Technoavia,Rysachok,TECHNOAVIA Rysachok,Rysachok,TURBOPROP,TURBOPROP,2,L
S200,Sipa,S-200 Minijet,SIPA S-200 Minijet,S-200 Minijet,BUSINESS,JET,1,L
S211,Siai-Marchetti,S-211,SIAI-MARCHETTI S-211,S-211,BUSINESS,JET,1,L
S2T,Grumman,S-2 Turbo Tracker,GRUMMAN S-2 Turbo Tracker,S-2 Turbo Tracker,TURBOPROP,TURBOPROP,2,M
S3,Lockheed,S-3 Viking,LOCKHEED S-3 Viking,S-3 Viking,REGIONAL,JET,2,M
S37,Sukhoi,Su-47 Berkut,SUKHOI Su-47 Berkut,Su-47 Berkut,REGIONAL,JET,2,M
S401,Scaled,401 Sierra,SCALED 401 Sierra,401 Sierra,BUSINESS,JET,1,L
S601,Aerospatiale,SN-601 Corvette,AEROSPATIALE SN-601 Corvette,SN-601 Corvette,BUSINESS,JET,2,L
S716,Stratos,714/716,STRATOS 714/716,714/716,BUSINESS,JET,1,L
SA6E,Sreya,SA-6 Envoy,SREYA SA-6 Envoy,SA-6 Envoy,TURBOPROP,TURBOPROP,1,L
SA8T,Schweizer,SA-2-38B Twin Condor Turbine,SCHWEIZER SA-2-38B Twin Condor Turbine,SA-2-38B Twin Condor Turbine,TURBOPROP,TURBOPROP,2,L
SATA,CASA,HA-220 Super Saeta,CASA HA-220 Super Saeta,HA-220 Super Saeta,BUSINESS,JET,2,L
SB05,Saab,105,SAAB 105,105,BUSINESS,JET,2,L
SB20,Saab,2000,SAAB 2000,2000,TURBOPROP,TURBOPROP,2,M
SB29,Saab,29,SAAB 29,29,REGIONAL,JET,1,M
SB32,Saab,32 Lansen,SAAB 32 Lansen,32 Lansen,REGIONAL,JET,1,M
SB35,Saab,35 Draken,SAAB 35 Draken,35 Draken,REGIONAL,JET,1,M
SB37,Saab,37 Viggen,SAAB 37 Viggen,37 Viggen,REGIONAL,JET,1,M
SB39,Saab,39 Gripen,SAAB 39 Gripen,39 Gripen,REGIONAL,JET,1,M
SBR1,North American,Sabre 40/50/60/65,NORTH AMERICAN Sabre 40/50/60/65,Sabre 40/50/60/65,REGIONAL,JET,2,M
SBR2,North American,Sabre 75/80,NORTH AMERICAN Sabre 75/80,Sabre 75/80,REGIONAL,JET,2,M
SC7,Short,Skyvan,SHORT Skyvan,Skyvan,TURBOPROP,TURBOPROP,2,L
SEAT,Seawind,Turbine Seawind,SEAWIND Turbine Seawind,Turbine Seawind,TURBOPROP,TURBOPROP,1,L
SEST,Seastar,SeaStar,SeaStar,SeaStar,TURBOPROP,TURBOPROP,1,L
SF34,Saab,340,SAAB 340,340,TURBOPROP,TURBOPROP,2,M
SF50,Cirrus,SF-50 Vision,CIRRUS SF-50 Vision,SF-50 Vision,BUSINESS,JET,1,L
SG92,Technoavia,Turbo Finist,TECHNOAVIA Turbo Finist,Turbo Finist,TURBOPROP,TURBOPROP,1,L
SGCD,Saab,JAS39 Gripen C/D,SAAB JAS39 Gripen C/D,JAS39 Gripen C/D,REGIONAL,JET,1,M
