icao_code,manufacturer,model,name,family,body_type,engine_type,engine_count,wake_category
WH4,Hall,Harpoon,HALL Harpoon,Harpoon,TURBOPROP,TURBOPROP,1,L
WHK2,Rutan,White Knight Two,RUTAN White Knight Two,White Knight Two,REGIONAL,JET,4,M
WHKN,Rutan,White Knight,RUTAN White Knight,White Knight,REGIONAL,JET,2,M
WW23,IAI,1123 Westwind,IAI 1123 Westwind,1123 Westwind,REGIONAL,JET,2,M
WW24,IAI,1124 Westwind,IAI 1124 Westwind,1124 Westwind,REGIONAL,JET,2,M
X29,Grumman,X-29,GRUMMAN X-29,X-29,REGIONAL,JET,1,M
X32,Boeing,X-32,BOEING X-32,X-32,NARROW,JET,1,M
X47B,Northrop,GRUMMAN X-47B,NORTHROP GRUMMAN X-47B,GRUMMAN X-47B,REGIONAL,JET,1,M
X55,Lockhed,MARTIN X-55,LOCKHED MARTIN X-55,MARTIN X-55,REGIONAL,JET,2,M
X59,Lockheed,MARTIN X-59 QueSST,LOCKHEED MARTIN X-59 QueSST,MARTIN X-59 QueSST,REGIONAL,JET,1,M
XB1,Boom,XB-1,BOOM XB-1,XB-1,BUSINESS,JET,3,L
Y12,Harbin,Y-12E Harbinger,HARBIN Y-12E Harbinger,Y-12E Harbinger,TURBOPROP,TURBOPROP,2,L
Y12F,Harbin,Y-12F Aircar,HARBIN Y-12F Aircar,Y-12F Aircar,TURBOPROP,TURBOPROP,2,M
Y130,Yakovlev,Yak-130,YAKOVLEV Yak-130,Yak-130,REGIONAL,JET,2,M
Y141,Yakovlev,Yak-141,YAKOVLEV Yak-141,Yak-141,REGIONAL,JET,3,M
Y20,Xian,Kunpeng,XIAN Kunpeng,Kunpeng,WIDE,JET,4,H
YK28,Yakovlev,Yak-28,YAKOVLEV Yak-28,Yak-28,REGIONAL,JET,2,M
YK30,Yakovlev,Yak-32,YAKOVLEV Yak-32,Yak-32,BUSINESS,JET,1,L
YK38,Yakovlev,Yak-38,YAKOVLEV Yak-38,Yak-38,REGIONAL,JET,3,M
YK40,Yakovlev,Yak-40,YAKOVLEV Yak-40,Yak-40,REGIONAL,JET,3,M
YK42,Yakovlev,Yak-142,YAKOVLEV Yak-142,Yak-142,REGIONAL,JET,3,M
YS11,Mitsubishi,YS-11,MITSUBISHI YS-11,YS-11,TURBOPROP,TURBOPROP,2,M
YURO,Soko_cniar,NJ-22 Orao,SOKO_CNIAR NJ-22 Orao,NJ-22 Orao,REGIONAL,JET,2,M
Z37T,Moravan,Z-137 Agro Turbo,MORAVAN Z-137 Agro Turbo,Z-137 Agro Turbo,TURBOPROP,TURBOPROP,1,L
