icao,iata,name,city,country_code,latitude,longitude,time_zone,airport_type
AGGN,GZO,Nusatupe Airport,Gizo,SB,-8.09778022766,156.863998413,Pacific/Guadalcanal,small_airport
AGGO,MNY,Mono Airport,Stirling Island,SB,-7.41694,155.565002,Pacific/Guadalcanal,small_airport
AGGP,PRS,Parasi Airport,Parasi,SB,-9.641670227050781,161.4250030517578,Pacific/Guadalcanal,small_airport
AGGR,RNL,Rennell/Tingoa Airport,Rennell Island,SB,-11.55,160.062778,Pacific/Guadalcanal,small_airport
AGGS,EGM,Sege Airport,Sege,SB,-8.57889,157.876007,Pacific/Guadalcanal,small_airport
AGGT,NNB,Santa Ana Airport,Santa Ana Island,SB,-10.847994,162.454108,Pacific/Guadalcanal,small_airport
AGGU,RUS,Marau Airport,Marau,SB,-9.86167,160.824997,Pacific/Guadalcanal,small_airport
AGGV,VAO,Suavanao Airport,Suavanao,SB,-7.58556,158.731003,Pacific/Guadalcanal,small_airport
AGGY,XYA,Yandina Airport,Yandina,SB,-9.092816,159.21841,Pacific/Guadalcanal,small_airport
,AGK,Kagua Airport,Kagua,PG,-6.396388888890001,143.853611111,,small_airport
AGKG,KGE,Kaghau Airport,Kagau Island,SB,-7.3305,157.585,Pacific/Guadalcanal,small_airport
AGKU,KUE,Kukudu Airport,Kolombangara Island,SB,-8.0262,156.94783,Pacific/Guadalcanal,small_airport
AGKW,KWS,Kwailabesi Airport,Kwailabesi,SB,-8.360508,160.775127,Pacific/Guadalcanal,small_airport
AGLM,LLM,Lomlom Airport,Lomlom,SB,-10.296828,166.327322,Pacific/Guadalcanal,small_airport
AGNA,NAZ,Nana Airport,Star Harbor,SB,-10.6758,162.2049,Pacific/Guadalcanal,small_airport
AGOB,MHM,Manaoba Airport,Manaoba,SB,-8.325008,160.80051,Pacific/Guadalcanal,small_airport
AGOK,GTA,Gatokae Aerodrome,Gatokae,SB,-8.738358,158.202836,Pacific/Guadalcanal,small_airport
AGRC,RIN,Ringi Cove Airport,Ringi Cove,SB,-8.12639045715332,157.14300537109375,Pacific/Guadalcanal,small_airport
AGRM,RBV,Ramata Airport,Ramata,SB,-8.168060302734375,157.64300537109375,Pacific/Guadalcanal,small_airport
AGTI,TLG,Tulaghi Heliport,Tulaghi Island,SB,-9.108,160.149166667,Pacific/Guadalcanal,heliport
,AHY,Ambatolhy Airport,Ambatolahy,MG,-20.015833333299998,45.535,Indian/Antananarivo,small_airport
,AIC,Ailinglaplap Airok Airport,Bigatyelang Island,MH,7.279422,168.8257,,small_airport
,CEX,Chena Hot Springs Airport,Chena Hot Springs,US,65.0518035889,-146.04699707,America/Anchorage,small_airport
,SOL,Solomon State Field,Solomon,US,64.5605,-164.4457,America/Nome,small_airport
,HED,Herendeen Bay Airport,Herendeen Bay,US,55.802346,-160.901346,America/Anchorage,small_airport
,TWE,Taylor Airport,Taylor,US,65.6792984009,-164.798995972,America/Nome,small_airport
,KTH,Tikchik Lodge Seaplane Base,Tikchik,US,59.9631996155,-158.477005005,,seaplane_base
,NKI,Naukati Bay Seaplane Base,Tuxekan Island,US,55.849602,-133.227994,,seaplane_base
,CDL,Candle 2 Airport,Candle,US,65.907699585,-161.925994873,America/Anchorage,small_airport
,AOS,Amook Bay Seaplane Base,Amook Bay,US,57.4715003967,-153.815002441,,seaplane_base
,BSW,Boswell Bay Airport,Boswell Bay,US,60.4230995178,-146.145996094,America/Anchorage,small_airport
,AKM,Zakuoma Airport,ZaKouma,TD,10.8902777778,19.8172222222,Africa/Ndjamena,small_airport
,ALZ,Alitak Seaplane Base,Lazy Bay,US,56.897294,-154.249692,,seaplane_base
UDCK,YUK,Syunik Airport,Kapan,AM,39.202272,46.455204,Asia/Yerevan,small_airport
,AME,Alto Molocue Airport,Alto Molocue,MZ,-15.6102777778,37.6813888889,Africa/Maputo,small_airport
FMMB,AMY,Ambatomainty Airport,,MG,-17.686667,45.623889,Indian/Antananarivo,small_airport
ANYN,INU,Nauru International Airport,Yaren,NR,-0.547893,166.919525,Pacific/Nauru,medium_airport
YADN,ANZ,Angus Downs Airport,Angus Downs Station,AU,-25.0325,132.2748,,small_airport
FNCO,CTV,Catoca Airport,Saurimo,AO,-9.431359,20.311557,Africa/Luanda,small_airport
,ANL,Andulo Airport,Andulo,AO,-11.4723,16.710899,Africa/Luanda,small_airport
,CNZ,Cangamba Airport,Cangamba,AO,-13.7106,19.861099,Africa/Luanda,small_airport
,DRC,Dirico Airport,Dirico,AO,-17.981924,20.768061,Africa/Luanda,small_airport
,NDF,N'dalatando Airport,N'dalatando,AO,-9.280378,14.982432,Africa/Luanda,small_airport
,AOB,Annanberg Airport,,PG,-4.90416666667,144.635833333,,small_airport
,AOD,Abou-Deïa Airport,Abou-Deïa,TD,11.4773,19.2874,Africa/Ndjamena,small_airport
,APP,Asapa Airport,,PG,-8.979167,148.103611,,small_airport
,AQY,Girdwood-Alyeska Airport,Girdwood,US,60.968774,-149.119792,,small_airport
,QRF,Bragado Airport,Bragado,AR,-35.145811,-60.480294,,small_airport
,CVI,Caleta Olivia Airport,Caleta Olivia,AR,-46.37428,-67.59409,,small_airport
,CNT,Charata Airport,Charata,AR,-27.2164,-61.2103,,small_airport
,VGS,General Villegas Airport,General Villegas,AR,-34.995728,-62.999725,,small_airport
,LMD,Los Menucos Airport,Los Menucos,AR,-40.817699,-68.074699,,small_airport
,VCF,Valcheta Airport,Valcheta,AR,-40.700001,-66.150002,,small_airport
,CPG,Carmen de Patagones Airport,Carmen de Patagones,AR,-40.7781,-62.9803,,small_airport
,ARP,Aragip Airport,,PG,-9.88333333333,149.483333333,,small_airport
,ASZ,Asirim Airport,,PG,-6.009722222220001,150.368611111,,small_airport
YLTT,LYT,Lady Elliot Island Airstrip,Lady Elliot Island,AU,-24.1129,152.7156,,small_airport
YGRM,GYZ,Gruyere Airport,Cosmo Newbery,AU,-28.034548,123.81506,Australia/Perth,small_airport
YSWS,WSI,Western Sydney International (Nancy-Bird Walton) Airport,Sydney,AU,-33.883461,150.712981,Australia/Sydney,large_airport
YAGN,AGW,Agnew Airport,Agnew,AU,-12.1456,142.149369,,small_airport
YALD,AYD,Alroy Downs Airport,Alroy Downs,AU,-19.2908,136.078995,,small_airport
YBNI,BYX,Baniyala Airport,Baniyala,AU,-13.1981,136.227005,,small_airport
,COB,Coolibah Airport,Coolibah,AU,-15.548299789428711,130.96200561523438,,small_airport
,CRJ,Coorabie Airport,Coorabie,AU,-31.894399642944336,132.29600524902344,,small_airport
,CRY,Carlton Hill Airport,Carlton Hill,AU,-15.501899719238281,128.53399658203125,,small_airport
,CSD,Cresswell Downs Airport,Cresswell Downs,AU,-17.947999954223633,135.91600036621094,,small_airport
,DYM,Diamantina Lakes Airport,Diamantina Lakes,AU,-23.761699676513672,141.14500427246094,,small_airport
,HIS,Hayman Island Resort Seaplane Base,Hayman Island,AU,-20.059999465942383,148.88099670410156,,seaplane_base
,HLV,Helenvale Airport,Helenvale,AU,-15.685799598693848,145.21499633789062,,small_airport
YKBS,KBD,Kimberley Downs Airport,Kimberley Downs,AU,-17.398577,124.355565,,small_airport
,KGR,Kulgera Airport,Ghan,AU,-25.8428,133.292007,,small_airport
,PEP,Peppimenarti Airport,Peppimenarti,AU,-14.1442,130.091003,,small_airport
,RDA,Rockhampton Downs Airport,Rockhampton Downs,AU,-18.95330047607422,135.2010040283203,,small_airport
,SSK,Sturt Creek Airport,Sturt Creek,AU,-19.166400909423828,128.1739959716797,,small_airport
,SWB,Shaw River Airport,Shaw River,AU,-21.510299682617188,119.36199951171875,,small_airport
,TWP,Torwood Airport,Torwood,AU,-17.363300323486328,143.75,,small_airport
,ZVG,Springvale Airport,Springvale,AU,-17.7869,127.669998,,small_airport
,AWR,Awar Airport (unusable),Awar,PG,-4.122278,144.853292,,small_airport
ZBAL,AXF,Alxa Left Banner Bayanhot Airport,Bayanhot,CN,38.748317,105.58416,Asia/Shanghai,medium_airport
WATP,AXO,Pantar Kabir Airport,Kabir,ID,-8.244832,124.219108,,small_airport
AYAA,AMF,Ama Airport,,PG,-4.10111111111,141.67,,small_airport
AYAE,UAE,Mount Aue Airport,Aue,PG,-6.229978,144.664181,,small_airport
AYAF,AFR,Afore Airstrip,Afore,PG,-9.13867,148.390701,Pacific/Port_Moresby,small_airport
AYAG,AUP,Agaun Airport,Agaun,PG,-9.927715,149.389951,,small_airport
AYAI,ATP,Aitape Airport,Aitape,PG,-3.143611,142.346806,Pacific/Port_Moresby,small_airport
AYAK,AIH,Aiambak Airport,Aiambak,PG,-7.342777777779999,141.2675,,small_airport
AYAM,AMU,Amanab Airport,Amanab,PG,-3.586,141.214333333,Pacific/Port_Moresby,small_airport
AYAN,ADC,Andakombe Airport,Andekombe,PG,-7.13722222222,145.744722222,Pacific/Port_Moresby,small_airport
AYAO,AIE,Aiome Airport,Aiome,PG,-5.145699978,144.7307003,Pacific/Port_Moresby,small_airport
AYAQ,KPM,Kompiam Airport,,PG,-5.38166666667,143.924722222,Pacific/Port_Moresby,small_airport
AYAT,AUJ,Ambunti Airport,Ambunti,PG,-4.21566666667,142.823166667,Pacific/Port_Moresby,small_airport
AYAW,AWB,Awaba Airport,Awaba,PG,-8.013414,142.752099,Pacific/Port_Moresby,small_airport
AYAX,AEK,Aseki Airport,Aseki,PG,-7.350805,146.193994,,small_airport
AYAY,AYU,Aiyura Airport,Aiyura Valley,PG,-6.33805555556,145.904166667,Pacific/Port_Moresby,small_airport
AYBA,VMU,Baimuru Airport,Baimuru,PG,-7.496955,144.821756,Pacific/Port_Moresby,medium_airport
AYBC,BCP,Bambu Airport,Bambu,PG,-5.863611111110001,146.4925,,small_airport
AYBD,BNM,Bodinumu Airport,Bodinumu,PG,-9.107777777779999,147.666722222,,small_airport
AYBF,BMZ,Bamu Airport,Bamu,PG,-7.8485,143.2433,,small_airport
AYBG,BDZ,Baindoung Airport,,PG,-6.34722222222,146.942222222,Pacific/Port_Moresby,small_airport
AYBH,BSP,Bensbach Airport,Bensbach,PG,-8.85805555556,141.259444444,,small_airport
AYBI,BWP,Bewani Airport,Bewani,PG,-3.0216666666700003,141.165277778,,small_airport
AYBK,BUA,Buka Airport,Buka Island,PG,-5.422299,154.672698,Pacific/Bougainville,medium_airport
AYBL,BAA,Bialla Airport,"Bialla, Matalilu, Ewase",PG,-5.3305602073700005,151.007995605,Pacific/Port_Moresby,small_airport
AYBM,OPU,Balimo Airport,Balimo,PG,-8.05000019073,142.932998657,Pacific/Port_Moresby,medium_airport
AYBO,BMH,Bomai Airport,Bomai,PG,-6.37316666667,144.637,,small_airport
AYBP,BPD,Bapi Airstrip,Bapi,PG,-7.743611111110001,147.020555556,,small_airport
AYBQ,BPK,Biangabip Airport,Biangabip,PG,-5.526389,141.744583,,small_airport
AYBR,BRP,Biaru Airport,Biaru,PG,-7.6693,146.7594,,small_airport
AYBU,BUL,Bulolo Airport,Bulolo,PG,-7.216286671410001,146.649541855,Pacific/Port_Moresby,small_airport
AYBZ,XBN,Biniguni Airport,Biniguni,PG,-9.6425,149.303889,,small_airport
AYCB,CVB,Chungribu Airport,Chungribu,PG,-4.80662,144.714996,,small_airport
AYCG,CGC,Cape Gloucester Airport,Cape Gloucester,PG,-5.455231,148.422289,Pacific/Port_Moresby,small_airport
AYCH,CMU,Chimbu Airport,Kundiawa,PG,-6.024290084838867,144.9709930419922,Pacific/Port_Moresby,medium_airport
AYCS,SQT,China Strait Airstrip,Samarai Island,PG,-10.5627777778,150.690694444,,small_airport
AYDB,DBP,Debepare Airport,Debepare,PG,-6.30861111111,141.905555556,Pacific/Port_Moresby,small_airport
AYDE,DER,Derim Airport,Derim,PG,-6.14472222222,147.107222222,Pacific/Port_Moresby,small_airport
